Anhui	p+	CN.AH	34	AH	CH01	an	23-24	59,500,510	140,455	54,230	Anhwei	Hefei
Beijing	m	CN.BJ	11	BJ	CH22	pe	10	19,612,368	16,808	6,490	Peking	Beijing
Chongqing	m	CN.CQ	50	CQ	CH33	cq	40	28,846,170	82,403	31,816	Chungking	Chongqing
Fujian	p+	CN.FJ	35	FJ	CH07	fu	35-36	36,894,216	122,919	47,459	Fukien	Fuzhou
Gansu	p+	CN.GS	62	GS	CH15	ka	73-74	25,575,254	459,233	177,311	Kansu	Lanzhou
Guangdong	p+	CN.GD	44	GD	CH30	kn	51-52	104,303,132	178,341	68,858	Kwangtung	Guangzhou
Guangxi Zhuang	a+	CN.GX	45	GX	CH16	kc	53-54	46,026,629	235,001	90,734	Kwangsi	Chuang	Nanning
Guizhou	p+	CN.GZ	52	GZ	CH18	kw	55-56	34,746,468	174,976	67,559	Kweichow	Guiyang
Hainan	p	CN.HA	46	HI	CH31	ha	57	8,671,518	60,438	23,335	Hainan	Haikou
Hebei	p+	CN.HB	13	HE	CH10	hp	05-07	71,854,202	187,240	72,294	Hopeh	Shijiazhuang
Heilongjiang	p	CN.HL	23	HL	CH08	he	15-16	38,312,224	431,767	166,706	Heilungkiang	Harbin
Henan	p+	CN.HE	41	HA	CH09	ho	45-47	94,023,567	166,310	64,213	Honan	Zhengzhou
HongKong	a	CN.HK	81 	HK	CHHK	hk	81	7,299,359	N/A	N/A	N/A	N/A		
Macau	a	CN.MC	82 	HK	CHHK	hk	81	575,975	N/A	N/A	N/A	N/A	
Hubei	p+	CN.HU	42	HB	CH12	hh	43-44	57,237,740	185,673	71,689	Hupeh	Wuhan
Hunan	p+	CN.HN	43	HN	CH11	hu	41-42	65,683,722	211,231	81,557	Hunan	Changsha
Jiangsu	p+	CN.JS	32	JS	CH04	ku	21-22	78,659,903	98,285	37,948	Kiangsu	Nanjing
Jiangxi	p+	CN.JX	36	JX	CH03	ki	33-34	44,567,475	171,041	66,039	Kiangsi	Nanchang
Jilin	p	CN.JL	22	JL	CH05	kr	13	27,462,297	191,038	73,760	Kirin	Changchun
Liaoning	p	CN.LN	21	LN	CH19	lp	11-12	43,746,323	147,451	56,931	Liaoning	Shenyang
Nei Mongol	a	CN.NM	15	NM	CH20	im	01-02	24,706,321	1,181,104	456,027	Inner Mongolia	Hohhot
Ningxia Hui	a	CN.NX	64	NX	CH21	nn	75	6,301,350	52,188	20,150	Ningsia Hui	Yinchuan
Qinghai	p	CN.QH	63	QH	CH06	ts	81	5,626,722	720,459	278,171	Tsinghai	Xining
Shaanxi	p+	CN.SA	61	SN	CH26	ss	71-72	37,327,378	204,846	79,091	Shensi	Xian
Shandong	p+	CN.SD	37	SD	CH25	sp	25-27	95,793,065	156,219	60,316	Shantung	Jinan
Shanghai	m	CN.SH	31	SH	CH23	sm	20	23,019,148	6,500	2,510	Shanghai	Shanghai
Shanxi	p+	CN.SX	14	SX	CH24	sh	03-04	35,712,111	149,708	57,803	Shansi	Taiyuan
Sichuan	p+	CN.SC	51	SC	CH32	sz	61-64	80,418,200	491,146	189,633	Szechwan	Chengdu
Tianjin	m	CN.TJ	12	TJ	CH28	tn	30	12,938,224	11,943	4,611	Tientsin	Tianjin
Xinjiang Uygur	a	CN.XJ	65	XJ	CH13	su	83-84	21,813,334	1,743,441	673,146	Sinkiang Uighur	Urumqi
Xizang	a	CN.XZ	54	XZ	CH14	ti	85	3,002,166	1,178,577	455,051	Tibet	Lhasa
Yunnan	p+	CN.YN	53	YN	CH29	yu	65-67	45,966,239	388,610	150,043	Yunnan	Kunming
Zhejiang	p+	CN.ZJ	33	ZJ	CH02	ch	31-32	54,426,891	106,078	40,957	Chekiang	Hangzhou